N-Z,N,Z,A,EL,O,MASS EXCESS (keV),BINDING ENERGY/A (keV),BETA-DECAY ENERGY (keV),ATOMIC MASS (micro-u)
34,,89,55,Cs,-63271,-63271.353,20.132,8211.8,89    0.140 B-   8495
32,,88,56,Ba,-71767,-71767.121,7.136,8265.4,54    0.050 B-   3082
30,,87,57,La,-74849,,12.937,8281.4,28    0.090 B-   5582
28,,86,58,Ce,-80431,,2.885,8314.7,60    0.020 B-    318
26,,85,59,Pr,-80750,,2.762,8311.5,40    0.019 B-   2997
24,,84,60,Nd,-83747,-83747.957,1.367,8326.9,22    0.009 B-  -2331
22,,83,61,Pm,-81416,-81416.093,2.964,8305.2,96    0.021 B-    549
20,,82,62,Sm,-81965,-81965.535,1.554,8303.6,79    0.011 B-  -6346
18,,81,63,Eu,-75619,-75619.133,10.789,8254.1,73    0.075 B-  -3859
16,,80,64,Gd,-71759,,27.945,8221.9,37    0.194 B-  -9391
14,,79,65,Tb,-62368,,27.945,8151.2,87    0.194 B-  -5798
12,,78,66,Dy,-56570,,7.173,8105.5,89    0.050 B- -11960
10,,77,67,Ho,-44609,,8.477,8017.0,97    0.059 B-  -8002
8,,76,68,Er,-36608,,196#,7956#,1#    B- -14349
6,,75,69,Tm,-p,,400#,7851#,3#    B-      *
0 39,,92,53,I,-40939,,503#,8068#,3#    B-  10554
37,,91,54,Xe,-51493,,11.178,8135.0,87    0.077 B-   8561
35,,90,55,Cs,-60054,-60054.415,9.067,8188.7,33    0.063 B-   7461
33,,89,56,Ba,-67516,,8.477,8234.7,98    0.058 B-   5319
31,,88,57,La,-72835,-72835.317,12.269,8266.0,87    0.085 B-   4231
29,,87,58,Ce,-77067,-77067.022,33.902,8289.8,75    0.234 B-   2558
27,,86,59,Pr,-79625,-79625.94,7.169,8302.1,27    0.049 B-   1806
25,,85,60,Nd,-81431,-81431.951,1.384,8309.1,87    0.010 B-   -164
23,,84,61,Pm,-81267,-81267.474,2.859,8302.6,57    0.020 B-   -616
21,,83,62,Sm,-80651,-80651.318,1.578,8293.0,13    0.011 B-  -2659
19,,82,63,Eu,-77991,-77991.507,3.106,8269.2,74    0.021 B-  -5065
17,,81,64,Gd,-72926,-72926.32,19.709,8228.9,46    0.136 B-  -6537
15,,80,65,Tb,-66388,-66388.411,109.174,8178.4,61    0.753 B-  -8145
13,,79,66,Dy,-58242,,6.520,8116.8,88    0.045 B-  -9122
11,,78,67,Ho,-49120,,7.452,8048.5,78    0.051 B-  -9880
9,,77,68,Er,-39240,,200#,7975#,1#    B- -11657
7,,76,69,Tm,-p,,196#,7889#,1#    B-      *
0 38,,92,54,Xe,-47954,,24.219,8110.4,15    0.166 B-   7355
36,,91,55,Cs,-55310,,2.893,8155.4,36    0.020 B-   9636
34,,90,56,Ba,-64947,-64947.086,20.863,8216.0,82    0.143 B-   4103
32,,89,57,La,-69050,-69050.283,33.616,8238.8,28    0.230 B-   6585
30,,88,58,Ce,-75635,-75635.389,16.306,8278.5,73    0.112 B-   1045
28,,87,59,Pr,-76681,-76681.006,34.816,8280.3,76    0.238 B-   4244
26,,86,60,Nd,-80925,-80925.867,1.386,8304.0,92    0.009 B-  -1471
24,,85,61,Pm,-79454,,4.308,8288.6,54    0.030 B-   1542
22,,84,62,Sm,-80996,-80996.309,3.092,8293.8,57    0.021 B-  -3878
20,,83,63,Eu,-77117,-77117.541,6.026,8261.9,32    0.041 B-  -1031
18,,82,64,Gd,-76085,-76085.783,4.108,8249.5,06    0.028 B-  -8322
16,,81,65,Tb,-67763,-67763.61,44.862,8187.1,46    0.307 B-  -5208
14,,80,66,Dy,-62554,-62554.918,6.695,8146.1,12    0.046 B- -11316
12,,79,67,Ho,-51238,-51238.219,6.587,8063.2,42    0.045 B-  -6916
10,,78,68,Er,-44322,-44322.012,6.705,8010.5,12    0.046 B- -13267
8,,77,69,Tm,-p,,200#,7914#,1#    B-      *
0 39,,93,54,Xe,-42360,,200#,8072#,1#    B-   9560
37,,92,55,Cs,-51920,,8.383,8131.8,00    0.057 B-   8343
35,,91,56,Ba,-60264,,19.748,8183.2,40    0.134 B-   6414
33,,90,57,La,-66678,,10.712,8221.5,53    0.073 B-   5335
31,,89,58,Ce,-72013,-72013.891,8.580,8252.5,27    0.058 B-   3430
29,,88,59,Pr,-75444,-75444.067,15.857,8270.5,39    0.108 B-   2702
27,,87,60,Nd,-78146,-78146.748,1.388,8283.6,03    0.009 B-    895
25,,86,61,Pm,-79042,-79042.26,1.399,8284.3,72    0.010 B-    224
23,,85,62,Sm,-79266,-79266.354,1.372,8280.5,75    0.009 B-  -1721
21,,84,63,Eu,-77544,-77544.756,2.630,8263.5,41    0.018 B-  -2187
19,,83,64,Gd,-75356,-75356.945,1.965,8243.3,36    0.013 B-  -4614
17,,82,65,Tb,-70742,-70742.665,8.100,8206.6,24    0.055 B-  -6546
15,,81,66,Dy,-64196,,8.849,8156.7,67    0.060 B-  -8438
13,,80,67,Ho,-55757,-55757.092,5.001,8094.0,37    0.034 B-  -9149
11,,79,68,Er,-46607,,38.191,8026.4,75    0.260 B- -10633
9,,78,69,Tm,-35974,-35974.4,6.839,7948.8,17    0.047 B-      *
0 40,,94,54,Xe,-38600,,300#,8047#,2#    B-   8311
38,,93,55,Cs,-46910,,13.041,8097.5,46    0.088 B-  10682
36,,92,56,Ba,-57593,,63.079,8164.4,41    0.426 B-   5115
34,,91,57,La,-62708,,19.468,8193.7,16    0.132 B-   7689
32,,90,58,Ce,-70398,-70398.408,11.195,8240.3,87    0.076 B-   2137
30,,89,59,Pr,-72535,-72535.424,15.043,8249.5,40    0.102 B-   4872
28,,88,60,Nd,-77407,-77407.996,2.127,8277.1,77    0.014 B-   -542
26,,87,61,Pm,-76865,,5.723,8268.2,26    0.039 B-   2470
24,,86,62,Sm,-79336,-79336.264,1.367,8279.6,33    0.009 B-  -3036
22,,85,63,Eu,-76299,-76299.331,10.013,8253.8,27    0.068 B-    -30
20,,84,64,Gd,-76269,-76269.329,1.554,8248.3,38    0.011 B-  -5732
18,,83,65,Tb,-70537,-70537.082,12.464,8204.3,21    0.084 B-  -2677
16,,82,66,Dy,-67859,-67859.55,8.724,8180.9,43    0.059 B-  -9868
14,,81,67,Ho,-57991,,83.834,8108.9,79    0.566 B-  -6512
12,,80,68,Er,-51478,,10.246,8059.6,92    0.069 B- -12713
10,,79,69,Tm,-38765,,10.246,7968.5,00    0.069 B-  -8435
8,,78,70,Yb,-30330,,400#,7906#,3#    B-      *
0 39,,94,55,Cs,-43250,,400#,8073#,3#    B-   9870
37,,93,56,Ba,-53120,,437.802,8133.7,93    2.938 B-   7099
35,,92,57,La,-60219,,200.262,8176.1,91    1.344 B-   6450
33,,91,58,Ce,-66669,,10.246,8214.2,29    0.069 B-   4369
31,,90,59,Pr,-71039,,9.874,8238.3,03    0.066 B-   3336
29,,89,60,Nd,-n,,2.128,8255.4,42    0.014 B-   1688
27,,88,61,Pm,-76064,-76064.256,2.267,8261.5,26    0.015 B-   1071
25,,87,62,Sm,-77135,-77135.737,1.311,8263.4,66    0.009 B-   -694
23,,86,63,Eu,-76441,-76441.112,3.951,8253.5,54    0.027 B-  -1314
21,,85,64,Gd,-75127,-75127.011,3.360,8239.4,84    0.023 B-  -3638
19,,84,65,Tb,-71488,-71488.669,3.667,8209.8,15    0.025 B-  -3792
17,,83,66,Dy,-67695,-67695.909,9.221,8179.1,09    0.062 B-  -6049
15,,82,67,Ho,-61646,-61646.578,11.990,8133.2,59    0.080 B-  -7904
13,,81,68,Er,-53741,,27.945,8074.9,55    0.188 B-  -9859
11,,80,69,Tm,-43883,,196#,8004#,1#    B- -10684
9,,79,70,Yb,-33198,,300#,7927#,2#    B-      *
0 40,,95,55,Cs,-38170,,400#,8039#,3#    B-  11730
38,,94,56,Ba,-49900,,300#,8112#,2#    B-   6230
36,,93,57,La,-56129,,435.473,8148.2,25    2.903 B-   8716
34,,92,58,Ce,-64846,-64846.854,11.697,8201.1,22    0.078 B-   3453
32,,91,59,Pr,-68300,-68300.479,9.015,8218.9,31    0.060 B-   5379
30,,90,60,Nd,-73679,-73679.755,1.289,8249.5,77    0.009 B-    -82
28,,89,61,Pm,-73597,,20.041,8243.8,10    0.134 B-   3454
26,,88,62,Sm,-77051,-77051.139,1.274,8261.6,21    0.009 B-  -2258
24,,87,63,Eu,-74792,-74792.234,6.253,8241.3,46    0.042 B-    971
22,,86,64,Gd,-75763,-75763.934,6.076,8242.6,09    0.041 B-  -4658
20,,85,65,Tb,-71105,-71105.721,7.384,8206.3,38    0.049 B-  -1796
18,,84,66,Dy,-69309,-69309.6,4.348,8189.1,49    0.029 B-  -7363
16,,83,67,Ho,-61945,-61945.881,14.168,8134.8,42    0.094 B-  -4114
14,,82,68,Er,-57831,-57831.313,17.195,8102.1,95    0.115 B- -11340
12,,81,69,Tm,-46491,,196#,8021#,1#    B-  -7852
10,,80,70,Yb,-38638,,300#,7964#,2#    B- -13998
8,,79,71,Lu,-p,,300#,7865#,2#    B-      *
0 41,,96,55,Cs,-34230,,500#,8013#,3#    B-  10710
39,,95,56,Ba,-44940,,400#,8079#,3#    B-   8370
37,,94,57,La,-53310,,435.473,8129.0,43    2.884 B-   7914
35,,93,58,Ce,-61225,,17.698,8176.2,77    0.117 B-   5554
33,,92,59,Pr,-66779,-66779.63,11.651,8207.8,81    0.077 B-   4163
31,,91,60,Nd,-70942,-70942.988,1.293,8230.2,72    0.009 B-   2443
29,,90,61,Pm,-73386,-73386.063,4.653,8241.2,70    0.031 B-   1190
27,,89,62,Sm,-74576,-74576.279,1.273,8243.9,71    0.008 B-     76
25,,88,63,Eu,-74652,-74652.854,1.325,8239.2,97    0.009 B-   -464
23,,87,64,Gd,-74188,-74188.737,3.056,8231.0,43    0.020 B-  -2565
21,,86,65,Tb,-71623,-71623.504,4.137,8208.8,73    0.027 B-  -2871
19,,85,66,Dy,-a,,3.293,8184.6,78    0.022 B-  -5129
17,,84,67,Ho,-a,,8.302,8145.5,26    0.055 B-  -5356
15,,83,68,Er,-58266,,16.470,8104.8,72    0.109 B-  -7493
13,,82,69,Tm,-50772,,19.416,8050.0,64    0.129 B-  -9230
11,,81,70,Yb,-41542,,300.492,7983.7,55    1.990 B- -11434
9,,80,71,Lu,-p,,300#,7903#,2#    B-      *
0 42,,97,55,Cs,-28930,,500#,7979#,3#    B-  12780
40,,96,56,Ba,-41710,,400#,8057#,3#    B-   7580
38,,95,57,La,-49290,,300#,8102#,2#    B-   9690
36,,94,58,Ce,-58980,,200#,8161#,1#    B-   4778
34,,93,59,Pr,-63758,,18.537,8187.1,04    0.122 B-   6391
32,,92,60,Nd,-70149,-70149.407,24.485,8224.0,05    0.161 B-   1104
30,,91,61,Pm,-71254,-71254.186,25.912,8226.1,27    0.170 B-   3508
28,,90,62,Sm,-74762,-74762.603,1.212,8244.0,61    0.008 B-  -1874
26,,89,63,Eu,-72888,-72888.255,1.326,8226.5,83    0.009 B-   1818
24,,88,64,Gd,-74706,-74706.916,1.206,8233.4,01    0.008 B-  -3990
22,,87,65,Tb,-70716,,40.018,8202.0,04    0.263 B-   -599
20,,86,66,Dy,-a,,4.624,8192.9,16    0.030 B-  -6513
18,,85,67,Ho,-63604,-63604.771,12.529,8144.9,19    0.082 B-  -3104
16,,84,68,Er,-60500,-60500.377,8.830,8119.3,49    0.058 B-  -8780
14,,83,69,Tm,-51720,-51720.273,54.027,8056.4,38    0.355 B-  -5449
12,,82,70,Yb,-46270,-46270.381,149.708,8015.4,36    0.985 B- -12848
10,,81,71,Lu,-33422,,196#,7926#,1#    B-      *
0 41,,97,56,Ba,-36470,,400#,8023#,3#    B-   9590
39,,96,57,La,-46060,,300#,8081#,2#    B-   8850
37,,95,58,Ce,-54910,,200#,8134#,1#    B-   6659
35,,94,59,Pr,-61568,-61568.463,11.882,8172.0,36    0.078 B-   5761
33,,93,60,Nd,-67330,-67330.297,2.747,8204.5,82    0.018 B-   3317
31,,92,61,Pm,-70647,-70647.824,9.066,8221.1,52    0.059 B-   1911
29,,91,62,Sm,-n,,1.219,8228.5,34    0.008 B-    807
27,,90,63,Eu,-73367,-73367.222,1.330,8228.6,99    0.009 B-   -484
25,,89,64,Gd,-72882,-72882.551,1.203,8220.4,18    0.008 B-  -1569
23,,88,65,Tb,-71313,-71313.338,3.995,8205.0,48    0.026 B-  -2170
21,,87,66,Dy,-69142,-69142.943,4.048,8185.7,49    0.026 B-  -4130
19,,86,67,Ho,-a,,5.094,8153.6,37    0.033 B-  -4543
17,,85,68,Er,-60468,-60468.604,9.321,8118.8,27    0.061 B-  -6495
15,,84,69,Tm,-53973,-53973.329,11.983,8071.2,61    0.078 B-  -6765
13,,83,70,Yb,-47208,,196#,8022#,1#    B-  -8835
11,,82,71,Lu,-38372,,150.034,7959.0,70    0.981 B- -11073
9,,81,72,Hf,-27300,,300#,7882#,2#    B-      *
0 42,,98,56,Ba,-32820,,500#,8000#,3#    B-   8709
40,,97,57,La,-41530,,300#,8051#,2#    B-  10690
38,,96,58,Ce,-52220,,200#,8116#,1#    B-   5885
36,,95,59,Pr,-58104,,113.009,8148.8,92    0.734 B-   7720
34,,94,60,Nd,-65824,,52.642,8193.9,42    0.342 B-   2687
32,,93,61,Pm,-68511,,46.326,8206.3,10    0.301 B-   3943
30,,92,62,Sm,-72455,-72455.176,1.462,8226.8,35    0.009 B-   -717
28,,91,63,Eu,-71738,-71738.121,1.346,8217.0,98    0.009 B-   1967
26,,90,64,Gd,-73705,-73705.954,1.197,8224.7,96    0.008 B-  -3549
24,,89,65,Tb,-70156,,45.314,8196.6,66    0.294 B-    237
22,,88,66,Dy,-70393,-70393.907,7.445,8193.1,29    0.048 B-  -5754
20,,87,67,Ho,-a,,8.228,8150.6,81    0.053 B-  -2034
18,,86,68,Er,-62605,-62605.02,4.986,8132.3,92    0.032 B-  -8177
16,,85,69,Tm,-a,,14.412,8074.2,08    0.094 B-  -4495
14,,84,70,Yb,-49932,-49932.083,17.281,8039.9,39    0.112 B- -10217
12,,83,71,Lu,-39715,,196#,7969#,1#    B-  -7045
10,,82,72,Hf,-32670,,300#,7918#,2#    B-      *
0 41,,98,57,La,-37930,,400#,8028#,3#    B-   9850
39,,97,58,Ce,-47780,,300#,8087#,2#    B-   7635
37,,96,59,Pr,-55415,-55415.268,17.198,8131.0,39    0.111 B-   6868
35,,95,60,Nd,-62283,-62283.724,9.153,8170.3,04    0.059 B-   4656
33,,94,61,Pm,-66939,-66939.931,4.718,8195.2,96    0.030 B-   3250
31,,93,62,Sm,-n,,1.487,8211.2,23    0.010 B-   1627
29,,92,63,Eu,-71818,-71818.092,1.401,8216.6,74    0.009 B-    251
27,,91,64,Gd,-72069,-72069.88,1.191,8213.2,51    0.008 B-   -819
25,,90,65,Tb,-71250,,9.849,8202.9,14    0.064 B-  -2094
23,,89,66,Dy,-69155,-69155.55,9.665,8184.3,54    0.062 B-  -3116
21,,88,67,Ho,-66039,-66039.539,17.474,8159.2,03    0.113 B-  -3830
19,,87,68,Er,-a,,6.098,8129.4,44    0.039 B-  -5583
17,,86,69,Tm,-a,,9.925,8088.3,75    0.064 B-  -6123
15,,85,70,Yb,-a,,16.600,8043.8,23    0.107 B-  -7957
13,,84,71,Lu,-42545,,19.246,7987.4,36    0.124 B-  -8375
11,,83,72,Hf,-34170,,298#,7928#,2#    B- -10242
9,,82,73,Ta,-p,,300#,7857#,2#    B-      *
0 42,,99,57,La,-33050,,400#,7997#,3#    B-  11769
40,,98,58,Ce,-44820,,300#,8068#,2#    B-   6748
38,,97,59,Pr,-51568,,200#,8106#,1#    B-   8906
36,,96,60,Nd,-60473,,200.033,8158.0,66    1.282 B-   3690
34,,95,61,Pm,-64163,-64163.644,3.631,8176.7,05    0.023 B-   5196
32,,94,62,Sm,-69360,-69360.43,8.546,8205.0,03    0.055 B-    722
30,,93,63,Eu,-70082,-70082.548,3.590,8204.6,17    0.023 B-   2452
28,,92,64,Gd,-72534,-72534.914,1.190,8215.3,22    0.008 B-  -2444
26,,91,65,Tb,-70090,-70090.797,3.814,8194.6,39    0.024 B-    438
24,,90,66,Dy,-70528,-70528.964,1.194,8192.4,33    0.008 B-  -5050
22,,89,67,Ho,-65478,,60.012,8155.0,46    0.385 B-  -1267
20,,88,68,Er,-64211,-64211.709,24.629,8141.9,08    0.158 B-  -7377
18,,87,69,Tm,-56834,-56834.55,14.279,8089.6,03    0.092 B-  -3568
16,,86,70,Yb,-53265,-53265.721,9.308,8061.7,11    0.060 B-  -9566
14,,85,71,Lu,-a,,54.122,7995.3,74    0.347 B-  -5882
12,,84,72,Hf,-37816,-37816.896,149.757,7952.6,50    0.960 B- -11956
10,,83,73,Ta,-p,,298#,7871#,2#    B-      *
0 41,,99,58,Ce,-39930,,400#,8037#,3#    B-   8610
39,,98,59,Pr,-48540,,300#,8086#,2#    B-   7921
37,,97,60,Nd,-56461,-56461.543,24.918,8131.9,59    0.159 B-   5835
35,,96,61,Pm,-62297,-62297.043,7.006,8164.1,45    0.045 B-   4380
33,,95,62,Sm,-66677,-66677.577,4.433,8187.0,63    0.028 B-   2781
31,,94,63,Eu,-69458,-69458.908,4.259,8199.7,95    0.027 B-   1364
29,,93,64,Gd,-70823,-70823.473,1.189,8203.5,04    0.008 B-    -60
27,,92,65,Tb,-70763,-70763.43,1.222,8198.1,38    0.008 B-  -1338
25,,91,66,Dy,-69424,-69424.558,5.177,8184.6,27    0.033 B-  -2591
23,,90,67,Ho,-66832,-66832.832,23.469,8163.1,36    0.149 B-  -3419
21,,89,68,Er,-63413,-63413.639,26.505,8136.3,75    0.169 B-  -4704
19,,88,69,Tm,-58709,,27.945,8101.4,28    0.178 B-  -5287
17,,87,70,Yb,-53421,-53421.898,10.920,8062.7,67    0.070 B-  -6981
15,,86,71,Lu,-46440,-46440.523,12.078,8013.3,17    0.077 B-  -7537
13,,85,72,Hf,-a,,196#,7960#,1#    B-  -9310
11,,84,73,Ta,-29593,,150.069,7896.0,43    0.956 B- -10123
9,,83,74,W,-19470,,400#,7827#,3#    B-      *
0 42,1.0,0,58,Ce,-36660,,400#,8016#,3#    B-   7670
40,,99,59,Pr,-44330,,300#,8060#,2#    B-   9725
38,,98,60,Nd,-54055,,200#,8116#,1#    B-   5035
36,,97,61,Pm,-59089,-59089.209,13.453,8143.2,54    0.085 B-   6161
34,,96,62,Sm,-65250,-65250.243,4.892,8177.2,97    0.031 B-   2004
32,,95,63,Eu,-67255,-67255.188,10.255,8185.0,35    0.065 B-   3434
30,,94,64,Gd,-70689,-70689.546,1.189,8201.8,19    0.008 B-  -1218
28,,93,65,Tb,-69470,-69470.668,1.401,8189.1,53    0.009 B-    936
26,,92,66,Dy,-70407,-70407.349,2.365,8190.1,30    0.015 B-  -4219
24,,91,67,Ho,-66187,,27.108,8158.4,71    0.172 B-   -883
22,,90,68,Er,-65303,-65303.808,25.219,8147.9,26    0.160 B-  -6600
20,,89,69,Tm,-58703,-58703.194,25.219,8101.1,99    0.160 B-  -2692
18,,88,70,Yb,-56010,-56010.237,7.994,8079.2,03    0.051 B-  -8798
16,,87,71,Lu,-a,,15.125,8018.5,68    0.096 B-  -5109
14,,86,72,Hf,-42102,-42102.39,17.494,7981.2,76    0.111 B- -10936
12,,85,73,Ta,-31167,,196#,7907#,1#    B-  -7534
10,,84,74,W,-a,,300#,7854#,2#    B-      *
0 41,1.0,0,59,Pr,-41088,,400#,8039#,3#    B-   8719
39,,99,60,Nd,-49807,,300#,8089#,2#    B-   6747
37,,98,61,Pm,-56554,-56554.28,10.039,8126.8,59    0.063 B-   5653
35,,97,62,Sm,-62207,-62207.775,5.934,8157.4,95    0.037 B-   3835
33,,96,63,Eu,-66043,-66043.285,4.325,8176.6,97    0.027 B-   2518
31,,95,64,Gd,-68561,-68561.436,1.192,8187.6,14    0.007 B-    970
29,,94,65,Tb,-69532,-69532.363,1.256,8188.8,00    0.008 B-   -365
27,,93,66,Dy,-69167,-69167.134,1.528,8181.5,83    0.010 B-  -1837
25,,92,67,Ho,-67329,,3.088,8165.1,05    0.019 B-  -2768
23,,91,68,Er,-64561,,3.679,8142.7,73    0.023 B-  -3990
21,,90,69,Tm,-60570,,27.945,8112.7,54    0.176 B-  -4731
19,,89,70,Yb,-55838,,17.794,8078.0,74    0.112 B-  -6130
17,,88,71,Lu,-49708,,37.663,8034.6,00    0.237 B-  -6856
15,,87,72,Hf,-a,,16.813,7986.5,60    0.106 B-  -8413
13,,86,73,Ta,-34439,,19.689,7928.7,25    0.124 B-  -9145
11,,85,74,W,-a,,298#,7866#,2#    B- -10550
9,,84,75,Re,-14745,,305#,7795#,2#    B-      *
0 42,1.0,1,59,Pr,-36520,,400#,8011#,2#    B-  10613
40,1.0,0,60,Nd,-47134,,300#,8073#,2#    B-   5868
38,,99,61,Pm,-53002,,200#,8104#,1#    B-   7233
36,,98,62,Sm,-60234,-60234.793,5.934,8144.6,25    0.037 B-   3245
34,,97,63,Eu,-63480,-63480.463,9.501,8160.0,21    0.059 B-   4461
32,,96,64,Gd,-67941,-67941.741,1.278,8183.0,14    0.008 B-   -105
30,,95,65,Tb,-67836,-67836.257,1.262,8177.4,65    0.008 B-   1836
28,,94,66,Dy,-69672,-69672.73,0.772,8184.0,54    0.005 B-  -3290
26,,93,67,Ho,-66382,,15.020,8158.6,02    0.094 B-   -318
24,,92,68,Er,-66064,-66064.228,24.254,8151.7,21    0.152 B-  -5762
22,,91,69,Tm,-60302,-60302.028,34.262,8110.8,18    0.214 B-  -2139
20,,90,70,Yb,-58162,-58162.706,7.233,8092.5,57    0.045 B-  -7892
18,,89,71,Lu,-50269,,56.821,8038.3,38    0.355 B-  -4330
16,,88,72,Hf,-45938,-45938.943,9.541,8006.3,80    0.060 B- -10115
14,,87,73,Ta,-a,,54.316,7938.2,70    0.339 B-  -6497
12,,86,74,W,-29326,-29326.455,149.827,7892.7,72    0.936 B- -12588
10,,85,75,Re,-a,,298#,7809#,2#    B-      *
0 41,1.0,1,60,Nd,-42588,,400#,8044#,2#    B-   7648
39,1.0,0,61,Pm,-50235,,298#,8087#,2#    B-   6436
37,,99,62,Sm,-56671,-56671.962,6.817,8122.0,41    0.042 B-   5119
35,,98,63,Eu,-61791,-61791.524,10.399,8148.9,80    0.065 B-   3714
33,,97,64,Gd,-n,,1.622,8167.1,91    0.010 B-   1955
31,,96,65,Tb,-67461,-67461.589,1.350,8174.4,79    0.008 B-    594
29,,95,66,Dy,-68055,-68055.801,0.768,8173.3,10    0.005 B-   -858
27,,94,67,Ho,-67197,-67197.27,2.242,8163.1,19    0.014 B-  -1995
25,,93,68,Er,-65201,,8.780,8145.8,64    0.055 B-  -3302
23,,92,69,Tm,-61898,,27.945,8120.4,90    0.174 B-  -4059
21,,91,70,Yb,-57839,,15.354,8090.4,17    0.095 B-  -5277
19,,90,71,Lu,-52562,,27.945,8052.7,81    0.174 B-  -6247
17,,89,72,Hf,-46314,-46314.672,22.551,8009.1,17    0.140 B-  -7535
15,,88,73,Ta,-38778,,24.382,7957.4,52    0.151 B-  -8224
13,,87,74,W,-a,,196#,7902#,1#    B-  -9715
11,,86,75,Re,-20840,-20840.203,149.922,7836.3,12    0.931 B- -10861
9,,85,76,Os,-a,,400#,7764#,2#    B-      *
0 42,1.0,2,60,Nd,-39550,,400#,8026#,2#    B-   6819
40,1.0,1,61,Pm,-46370,,300#,8063#,2#    B-   8160
38,1.0,0,62,Sm,-54530,,196#,8109#,1#    B-   4174
36,,99,63,Eu,-58703,,35.229,8129.4,38    0.217 B-   5577
34,,98,64,Gd,-nn,,4.009,8159.0,35    0.025 B-   1395
32,,97,65,Tb,-65675,,36.372,8162.8,20    0.225 B-   2505
30,,96,66,Dy,-68181,-68181.478,0.767,8173.4,57    0.005 B-  -2139
28,,95,67,Ho,-66041,-66041.541,3.166,8155.4,18    0.020 B-    292
26,,94,68,Er,-66334,-66334.519,0.822,8152.3,97    0.005 B-  -4856
24,,93,69,Tm,-61477,,26.060,8117.5,88    0.161 B-  -1651
22,,92,70,Yb,-59826,,15.359,8102.5,65    0.095 B-  -6994
20,,91,71,Lu,-52831,,75.036,8054.5,59    0.463 B-  -3662
18,,90,72,Hf,-49169,-49169.008,8.968,8027.1,20    0.055 B-  -9388
16,,89,73,Ta,-a,,52.238,7964.3,35    0.322 B-  -5780
14,,88,74,W,-33999,-33999.207,17.658,7923.8,21    0.109 B- -11498
12,,87,75,Re,-22501,,196#,7848#,1#    B-  -8061
10,,86,76,Os,-a,,300#,7793#,2#    B-      *
0 41,1.0,2,61,Pm,-43249,,400#,8044#,2#    B-   7471
39,1.0,1,62,Sm,-50720,,298#,8085#,2#    B-   5765
37,1.0,0,63,Eu,-56484,,65.544,8115.4,71    0.402 B-   4829
35,,99,64,Gd,-61313,-61313.886,8.426,8140.2,97    0.052 B-   3282
33,,98,65,Tb,-64596,,4.073,8155.6,33    0.025 B-   1785
31,,97,66,Dy,-66381,-66381.17,0.765,8161.7,85    0.005 B-     -2
29,,96,67,Ho,-66378,-66378.335,0.765,8156.9,68    0.005 B-  -1210
27,,95,68,Er,-65167,-65167.723,4.639,8144.7,41    0.028 B-  -2439
25,,94,69,Tm,-62728,,5.524,8124.9,79    0.034 B-  -3429
23,,93,70,Yb,-59299,,15.364,8099.1,38    0.094 B-  -4507
21,,92,71,Lu,-54791,,27.945,8066.6,84    0.171 B-  -5527
19,,91,72,Hf,-49263,-49263.682,24.778,8027.9,72    0.152 B-  -6729
17,,90,73,Ta,-a,,38.061,7981.8,90    0.234 B-  -7626
15,,89,74,W,-a,,52.751,7930.3,02    0.324 B-  -8905
13,,88,75,Re,-26002,,18.534,7870.8,65    0.114 B-  -9810
11,,87,76,Os,-a,,298#,7806#,2#    B-      *
0 42,1.0,3,61,Pm,-38870,,400#,8017#,2#    B-   9232
40,1.0,2,62,Sm,-48102,,298#,8069#,2#    B-   5279
38,1.0,1,63,Eu,-53381,,114#,8096#,1#    B-   6393
36,1.0,0,64,Gd,-59774,,102#,8130#,1#    B-   2304
34,,99,65,Tb,-62077,,100.003,8139.7,65    0.610 B-   3890
32,,98,66,Dy,-65967,-65967.965,0.767,8158.7,14    0.005 B-   -986
30,,97,67,Ho,-64981,-64981.503,1.528,8147.9,29    0.009 B-    961
28,,96,68,Er,-65942,-65942.89,0.775,8149.0,20    0.005 B-  -4038
26,,95,69,Tm,-61904,-61904.035,24.394,8119.6,23    0.149 B-   -886
24,,94,70,Yb,-61017,,15.369,8109.4,46    0.094 B-  -6375
22,,93,71,Lu,-54642,,27.945,8065.8,04    0.170 B-  -2823
20,,92,72,Hf,-51818,-51818.505,15.820,8043.8,14    0.096 B-  -8535
18,,91,73,Ta,-43282,,27.945,7986.9,97    0.170 B-  -5047
16,,90,74,W,-38235,-38235.759,9.674,7951.4,52    0.059 B- -10763
14,,89,75,Re,-a,,54.555,7881.0,52    0.333 B-  -7050
12,,88,76,Os,-20422,-20422.106,149.919,7833.2,91    0.914 B- -13078
10,,87,77,Ir,-a,,314#,7749#,2#    B-      *
0 41,1.0,3,62,Sm,-43808,,401#,8043#,2#    B-   6916
39,1.0,2,63,Eu,-50724,,138#,8080#,1#    B-   5729
37,1.0,1,64,Gd,-56453,,121#,8110#,1#    B-   4113
35,1.0,0,65,Tb,-60566,,102#,8130#,1#    B-   3047
33,,99,66,Dy,-n,,0.769,8143.9,09    0.005 B-   1286
31,,98,67,Ho,-64899,-64899.006,1.010,8146.9,64    0.006 B-   -377
29,,97,68,Er,-64521,-64521.61,0.964,8139.9,36    0.006 B-  -1591
27,,96,69,Tm,-62929,-62929.621,1.671,8125.5,46    0.010 B-  -2634
25,,95,70,Yb,-60295,-60295.382,26.539,8104.8,39    0.161 B-  -3853
