A,elt,Z,S(n),S(p),Q(4B-),"Q(d,a)","Q(p,a)","Q(n,a)"
55,Ti,22,4117.0,181.0,15066.0,317.0,15813.0,161.0
55,V,23,7322.0,96.0,10811.0,125.0,4885.0,95.0
55,Cr,24,6246.0,0.0,12505.0,15.0,9773.0,0.0
55,Mn,25,10226.0,1.0,8066.0,0.0,26077.0,155.0
55,Fe,26,9298.0,0.0,9212.0,1.0,42911.0,7919.0
56,Ca,20,3619.0,21895.0,41387.0,1815.0,3262.0,15042.0
56,Sc,21,2764.0,742.0,13791.0,32059.0,586.0,11019.0
56,Ti,22,5723.0,202.0,16449.0,470.0,21287.0,121.0
56,V,23,5081.0,200.0,11775.0,239.0,9885.0,176.0
56,Cr,24,8246.0,0.0,13429.0,95.0,1377.0,0.0
56,Mn,25,7270.0,0.0,9090.0,0.0,18268.0,14.0
56,Fe,26,11197.0,0.0,10183.0,0.0,35217.0,5661.0
56,Co,27,10081.0,0.0,5848.0,0.0,52651.0,10924.0
57,Sc,21,4214.0,1430.0,14387.0,36490.0,1304.0,8065.0
57,Ti,22,2666.0,283.0,16352.0,640.0,26266.0,256.0
57,V,23,6329.0,194.0,12382.0,145.0,14932.0,80.0
57,Cr,24,5311.0,1.0,13658.0,176.0,3559.0,1.0
57,Mn,25,8646.0,1.0,9490.0,1.0,10177.0,1.0
57,Fe,26,7646.0,0.0,10559.0,0.0,27632.0,8241.0
57,Co,27,11376.0,0.0,6027.0,0.0,44335.0,8846.0
58,Sc,21,1951.0,15291.0,40952.0,9733.0,8339.0,9937.0
58,Ti,22,5266.0,17403.0,31045.0,4453.0,3913.0,7113.0
58,V,23,4059.0,120.0,13775.0,271.0,19445.0,89.0
58,Cr,24,7538.0,1.0,14867.0,80.0,8236.0,1.0
58,Mn,25,6412.0,3.0,10591.0,2.0,4159.0,2.0
58,Fe,26,10044.0,0.0,11957.0,1.0,19856.0,50.0
58,Co,27,8572.0,1.0,6954.0,1.0,36307.0,11470.0
58,Ni,28,12216.0,0.0,8172.0,0.0,53148.0,6522.0
59,Ti,22,2471.0,17923.0,35155.0,6197.0,4206.0,5966.0
59,V,23,5501.0,184.0,14011.0,24397.0,161.0,6794.0
59,Cr,24,4165.0,216.0,14972.0,234.0,13070.0,216.0
59,Mn,25,7769.0,3.0,10822.0,2.0,833.0,2.0
59,Fe,26,6581.0,0.0,12126.0,2.0,13449.0,0.0
59,Co,27,10453.0,1.0,7363.0,0.0,28470.0,8662.0
59,Ni,28,8999.0,0.0,8598.0,1.0,45287.0,8899.0
60,Ti,22,4891.0,19316.0,39083.0,3257.0,3530.0,9809.0
